r,rr,trtype,t,Value
p1,p2,AC,2010,8287.031
p1,p2,AC,2015,8287.031
p1,p2,AC,2020,8287.031
p1,p2,AC,2023,8287.031
p1,p2,AC,2026,8287.031
p1,p2,AC,2029,8287.031
p1,p2,AC,2032,8287.031
p1,p2,AC,2035,8287.031
p1,p4,AC,2010,9136.039
p1,p4,AC,2015,9136.039
p1,p4,AC,2020,9136.039
p1,p4,AC,2023,9136.039
p1,p4,AC,2026,9136.039
p1,p4,AC,2029,9136.039
p1,p4,AC,2032,9136.039
p1,p4,AC,2035,9136.039
p2,p1,AC,2010,9392.247
p2,p1,AC,2015,9392.247
p2,p1,AC,2020,9392.247
p2,p1,AC,2023,9392.247
p2,p1,AC,2026,9392.247
p2,p1,AC,2029,9392.247
p2,p1,AC,2032,9392.247
p2,p1,AC,2035,9392.247
p2,p3,AC,2010,796.505
p2,p3,AC,2015,796.505
p2,p3,AC,2020,796.505
p2,p3,AC,2023,796.505
p2,p3,AC,2026,796.505
p2,p3,AC,2029,796.505
p2,p3,AC,2032,796.505
p2,p3,AC,2035,796.505
p2,p4,AC,2010,6951.939
p2,p4,AC,2015,6951.939
p2,p4,AC,2020,6951.939
p2,p4,AC,2023,6951.939
p2,p4,AC,2026,6951.939
p2,p4,AC,2029,6951.939
p2,p4,AC,2032,6951.939
p2,p4,AC,2035,6951.939
p2,p5,AC,2010,23673.977
p2,p5,AC,2015,23673.977
p2,p5,AC,2020,23673.977
p2,p5,AC,2023,23673.977
p2,p5,AC,2026,23673.977
p2,p5,AC,2029,23673.977
p2,p5,AC,2032,23673.977
p2,p5,AC,2035,23673.977
p2,p14,AC,2010,2753.315
p2,p14,AC,2015,2753.315
p2,p14,AC,2020,2753.315
p2,p14,AC,2023,2753.315
p2,p14,AC,2026,2753.315
p2,p14,AC,2029,2753.315
p2,p14,AC,2032,2753.315
p2,p14,AC,2035,2753.315
p3,p2,AC,2010,202.47
p3,p2,AC,2015,202.47
p3,p2,AC,2020,202.47
p3,p2,AC,2023,202.47
p3,p2,AC,2026,202.47
p3,p2,AC,2029,202.47
p3,p2,AC,2032,202.47
p3,p2,AC,2035,202.47
p3,p4,AC,2010,4073.454
p3,p4,AC,2015,4073.454
p3,p4,AC,2020,4073.454
p3,p4,AC,2023,4073.454
p3,p4,AC,2026,4073.454
p3,p4,AC,2029,4073.454
p3,p4,AC,2032,4073.454
p3,p4,AC,2035,4073.454
p3,p5,AC,2010,352.0
p3,p5,AC,2015,352.0
p3,p5,AC,2020,352.0
p3,p5,AC,2023,352.0
p3,p5,AC,2026,352.0
p3,p5,AC,2029,352.0
p3,p5,AC,2032,352.0
p3,p5,AC,2035,352.0
p3,p14,AC,2010,477.317
p3,p14,AC,2015,477.317
p3,p14,AC,2020,477.317
p3,p14,AC,2023,477.317
p3,p14,AC,2026,477.317
p3,p14,AC,2029,477.317
p3,p14,AC,2032,477.317
p3,p14,AC,2035,477.317
p3,p17,AC,2010,1905.3
p3,p17,AC,2015,1905.3
p3,p17,AC,2020,1905.3
p3,p17,AC,2023,1905.3
p3,p17,AC,2026,1905.3
p3,p17,AC,2029,1905.3
p3,p17,AC,2032,1905.3
p3,p17,AC,2035,1905.3
p4,p1,AC,2010,14818.612
p4,p1,AC,2015,14818.612
p4,p1,AC,2020,14818.612
p4,p1,AC,2023,14818.612
p4,p1,AC,2026,14818.612
p4,p1,AC,2029,14818.612
p4,p1,AC,2032,14818.612
p4,p1,AC,2035,14818.612
p4,p2,AC,2010,10522.277
p4,p2,AC,2015,10522.277
p4,p2,AC,2020,10522.277
p4,p2,AC,2023,10522.277
p4,p2,AC,2026,10522.277
p4,p2,AC,2029,10522.277
p4,p2,AC,2032,10522.277
p4,p2,AC,2035,10522.277
p4,p3,AC,2010,4054.573
p4,p3,AC,2015,4054.573
p4,p3,AC,2020,4054.573
p4,p3,AC,2023,4054.573
p4,p3,AC,2026,4054.573
p4,p3,AC,2029,4054.573
p4,p3,AC,2032,4054.573
p4,p3,AC,2035,4054.573
p5,p2,AC,2010,18180.195
p5,p2,AC,2015,18180.195
p5,p2,AC,2020,18180.195
p5,p2,AC,2023,18180.195
p5,p2,AC,2026,18180.195
p5,p2,AC,2029,18180.195
p5,p2,AC,2032,18180.195
p5,p2,AC,2035,18180.195
p5,p3,AC,2010,352.0
p5,p3,AC,2015,352.0
p5,p3,AC,2020,352.0
p5,p3,AC,2023,352.0
p5,p3,AC,2026,352.0
p5,p3,AC,2029,352.0
p5,p3,AC,2032,352.0
p5,p3,AC,2035,352.0
p5,p6,AC,2010,8904.33
p5,p6,AC,2015,8904.33
p5,p6,AC,2020,8904.33
p5,p6,AC,2023,8904.33
p5,p6,AC,2026,8904.33
p5,p6,AC,2029,8904.33
p5,p6,AC,2032,8904.33
p5,p6,AC,2035,8904.33
p5,p7,AC,2010,4138.304
p5,p7,AC,2015,4138.304
p5,p7,AC,2020,4138.304
p5,p7,AC,2023,4138.304
p5,p7,AC,2026,4138.304
p5,p7,AC,2029,4138.304
p5,p7,AC,2032,4138.304
p5,p7,AC,2035,4138.304
p5,p10,LCC,2010,2780.0
p5,p10,LCC,2015,2780.0
p5,p10,LCC,2020,2780.0
p5,p10,LCC,2023,2780.0
