,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528602617.5049996,1320298040.5702965,1203879490.57,2421687876.42,4497136771.44,6.0,364.7332666666666,190.44378632189253,173.6512,349.3115,648.6806
AL,2015,6.0,521428702.18,279522952.3422057,242826034.82,498328884.54,957798194.15,6.0,75.21246666666666,40.319245700417895,35.0259,71.8805,138.1557
AL,2020,6.0,678850678.7333335,354809803.90613145,323950209.96,651510885.71,1209418353.71,6.0,97.91946666666668,51.17883884382945,46.727599999999995,93.9759,174.4502
AL,2023,6.0,1198114899.2483332,625793583.6470788,568135835.95,1144458930.97,2130593717.3999999,6.0,172.8197,90.26628341751973,81.9496,165.0802,307.3232
AL,2026,6.0,911283507.83,485488571.69288254,426042151.27,870661380.445,1661639364.47,6.0,131.44628333333333,70.02832167748751,61.4536,125.58680000000001,239.6799
AL,2029,6.0,920503509.96,490605815.7776675,430391523.21,879698124.1550001,1679364325.29,6.0,132.77621666666667,70.76641990388991,62.0811,126.89025000000001,242.2366
AL,2032,6.0,988603726.1033334,552693005.1643261,443832847.81,939481830.75,1897869212.61,6.0,142.59916666666666,79.72213348167915,64.0197,135.51375,273.75440000000003
AL,2035,6.0,720186700.8633333,383378806.9508075,336892656.07,688088556.655,1311954027.9,6.0,103.88193333333334,55.29973077510114,48.5944,99.252,189.24030000000002
AL,2038,6.0,696741259.3449999,371287653.31926894,325722123.57,665741228.335,1270857599.62,6.0,100.50009999999999,53.55564470962888,46.9832,96.02855,183.3124
AL,2041,6.0,691100530.9599999,368533459.88008535,322865797.07,660263956.41,1261567449.44,6.0,99.68639999999999,53.15834728025317,46.5711,95.23845,181.9722
AL,2044,6.0,631168090.8766667,336288768.594599,294974043.31,602910623.28,1150967693.73,6.0,91.04156666666667,48.50728538315318,42.548,86.9656,166.019
AL,2047,6.0,490059752.81666666,264513715.0413569,227461198.95,468776675.44500005,907364285.4000001,6.0,70.6877,38.154237370127056,32.8097,67.6178,130.8809
